// --- DATOS PARA INGENIERIA ---
Colegio,CL,M1,M2,CI,HI,NEM,RAN
Colegio Santa Maria de Maipu,790,650,843,543,877,296,309
Colegio Pedro de Valdivia,486,781,833,541,814,699,710
Colegio Pedro de Valdivia,690,642,551,700,854,373,421
Colegio Pedro de Valdivia,879,669,703,554,797,205,250
Colegio sagrado corazon,610,811,882,957,570,203,248
Colegio torreon,601,634,711,655,889,114,135
Colegio Santa Maria de Maipu,931,819,802,568,906,465,466
Colegio torreon,962,716,832,928,856,750,762
Colegio torreon,787,869,551,514,877,211,242
Colegio sagrado corazon,771,808,733,771,894,199,226
Colegio Pedro de Valdivia,490,618,672,583,410,451,484
Colegio sagrado corazon,685,750,729,660,604,464,505
Colegio sagrado corazon,754,965,901,790,945,430,480
Colegio sagrado corazon,849,778,726,768,997,236,261
Colegio sagrado corazon,471,761,583,996,456,274,304
Instituto portaleano,826,925,580,592,919,297,317
Colegio sagrado corazon,970,732,552,700,686,406,446
Colegio Santa Maria de Maipu,719,850,895,625,501,409,438
Colegio sagrado corazon,610,789,850,647,569,982,1000
Instituto portaleano,778,810,836,702,662,526,540
Colegio Pedro de Valdivia,817,812,812,897,809,977,1000
Colegio Santa Maria de Maipu,535,923,858,691,591,900,939
Colegio Pedro de Valdivia,773,779,938,956,627,364,369
Colegio Santa Maria de Maipu,570,657,912,875,919,566,590
Colegio sagrado corazon,517,643,978,712,642,441,451
Colegio sagrado corazon,644,828,864,858,880,331,345
Instituto portaleano,660,913,802,924,636,866,908
Colegio torreon,961,616,656,721,511,548,598
Colegio torreon,683,602,681,634,755,276,310
Instituto portaleano,480,966,714,958,790,371,410
Colegio Pedro de Valdivia,631,948,604,630,415,863,902
Colegio Pedro de Valdivia,973,822,933,681,787,741,786
Instituto portaleano,975,878,991,713,446,766,804
Colegio sagrado corazon,829,990,972,818,803,344,375
Instituto portaleano,529,834,809,721,968,853,878
Colegio Santa Maria de Maipu,947,907,684,683,608,971,986
Colegio Pedro de Valdivia,703,856,663,991,445,709,749
Instituto portaleano,983,992,788,647,715,389,432
Colegio Pedro de Valdivia,618,999,881,731,673,721,754
Colegio Santa Maria de Maipu,989,687,876,966,543,262,301
Colegio Santa Maria de Maipu,916,601,593,626,651,962,962
Colegio torreon,815,902,896,865,421,395,398
Colegio torreon,763,685,731,730,556,550,554
Instituto portaleano,670,855,981,612,994,885,924
Colegio torreon,708,662,559,551,769,408,443
Instituto portaleano,773,899,758,616,786,899,921
Colegio sagrado corazon,596,708,750,671,986,322,336
Colegio torreon,777,916,712,555,442,743,752
Colegio Santa Maria de Maipu,543,700,739,887,693,200,232
Colegio sagrado corazon,738,947,690,940,822,694,728
Colegio torreon,545,690,747,716,620,635,664
Colegio torreon,927,611,782,602,961,815,850
Colegio Pedro de Valdivia,565,697,729,642,770,564,572
Colegio sagrado corazon,814,1000,588,720,539,327,340
Colegio sagrado corazon,718,797,801,658,877,951,998
Colegio Pedro de Valdivia,776,905,769,886,710,764,778
Colegio sagrado corazon,494,744,881,879,629,506,531
Colegio torreon,740,617,633,528,650,908,910
Colegio torreon,523,642,829,638,769,773,781
Colegio Pedro de Valdivia,835,632,613,971,731,229,252
Colegio sagrado corazon,801,855,626,665,931,530,536
Colegio Santa Maria de Maipu,588,844,666,979,537,841,869
Colegio Santa Maria de Maipu,473,852,872,930,527,783,817
Colegio Pedro de Valdivia,749,790,856,749,690,623,660
Instituto portaleano,659,797,652,623,501,997,1000
Instituto portaleano,617,849,901,592,913,175,210
Colegio torreon,764,621,951,861,652,323,370
Colegio Santa Maria de Maipu,504,856,868,675,978,555,583
Colegio sagrado corazon,696,622,716,864,782,369,399
Colegio Pedro de Valdivia,555,707,690,992,722,416,420
Colegio torreon,508,831,691,815,933,614,616
Colegio torreon,670,885,682,743,880,999,1000
Colegio sagrado corazon,812,763,684,844,694,620,644
Colegio Pedro de Valdivia,753,627,996,738,749,319,344
Instituto portaleano,588,765,840,595,483,871,910
Instituto portaleano,871,621,736,768,518,179,215
Instituto portaleano,458,921,972,640,995,636,664
Colegio Pedro de Valdivia,507,704,854,990,941,519,545
Colegio Pedro de Valdivia,506,710,613,899,997,266,288
Colegio Pedro de Valdivia,889,692,631,538,627,362,403
Colegio Pedro de Valdivia,934,875,902,990,818,685,734
Colegio sagrado corazon,674,922,984,710,899,990,1000
Colegio torreon,577,632,705,692,481,958,966
Colegio Pedro de Valdivia,854,968,703,515,968,440,489
Instituto portaleano,783,850,762,854,897,301,318
Colegio Santa Maria de Maipu,519,676,642,606,575,561,589
Colegio torreon,667,614,716,590,543,851,874
Colegio Santa Maria de Maipu,787,888,895,753,603,592,629
Colegio Pedro de Valdivia,721,837,759,568,776,513,542
Instituto portaleano,487,766,721,656,606,940,967
Instituto portaleano,618,896,951,814,914,123,157
Colegio Santa Maria de Maipu,996,847,947,599,674,339,361
Instituto portaleano,540,799,887,966,974,247,282
Colegio Santa Maria de Maipu,937,988,586,810,945,729,756
Colegio Pedro de Valdivia,679,735,752,1000,843,500,520
Colegio sagrado corazon,574,954,716,831,996,406,418
Colegio Pedro de Valdivia,539,649,802,600,732,615,658
Colegio sagrado corazon,846,798,593,748,605,503,513
Colegio torreon,794,637,676,592,599,262,267
Colegio sagrado corazon,970,633,621,863,653,989,1000
Colegio torreon,701,622,819,709,545,589,622
Colegio sagrado corazon,562,765,756,826,592,629,665
Colegio Pedro de Valdivia,525,806,957,643,537,214,218
Colegio sagrado corazon,523,809,890,776,435,408,442
Colegio torreon,516,614,998,747,401,691,705
Colegio sagrado corazon,594,706,656,806,574,347,373
Instituto portaleano,959,776,925,501,621,166,178
Colegio Santa Maria de Maipu,531,921,786,655,659,969,1000
Colegio sagrado corazon,615,795,886,813,828,460,462
Colegio Pedro de Valdivia,650,816,558,504,934,194,241
Colegio Pedro de Valdivia,580,884,579,766,592,430,431
Colegio torreon,894,774,717,873,681,955,958
Colegio sagrado corazon,722,612,877,645,921,182,217
Colegio Santa Maria de Maipu,905,871,944,951,781,642,687
Instituto portaleano,951,978,924,950,480,309,334
Colegio sagrado corazon,814,965,899,648,774,195,224
Colegio Pedro de Valdivia,917,701,842,711,629,598,639
Colegio torreon,800,836,966,780,885,400,431
Colegio sagrado corazon,734,603,857,613,498,560,581
Instituto portaleano,685,738,666,991,474,237,253
Colegio Pedro de Valdivia,884,746,808,848,745,825,859
Colegio sagrado corazon,647,648,907,722,407,243,276
Colegio Pedro de Valdivia,766,751,681,704,517,677,718
Colegio Pedro de Valdivia,710,799,555,945,525,706,740
Colegio Pedro de Valdivia,996,659,875,533,900,819,834
Instituto portaleano,525,938,881,503,682,417,443
Colegio torreon,609,858,777,872,848,209,230
Colegio Pedro de Valdivia,587,943,599,553,987,628,662
Colegio Santa Maria de Maipu,931,933,728,886,741,690,709
Instituto portaleano,919,737,920,713,943,703,708
Colegio Pedro de Valdivia,866,924,698,913,660,877,911
Colegio Santa Maria de Maipu,851,735,997,925,540,566,585
Colegio Pedro de Valdivia,546,824,954,999,536,850,873
Instituto portaleano,540,967,550,819,483,187,199
Colegio Santa Maria de Maipu,550,740,936,545,721,178,184
Colegio Santa Maria de Maipu,950,677,848,839,653,231,254
Colegio torreon,791,778,992,928,686,412,427
Colegio Pedro de Valdivia,664,709,950,839,944,452,460
Colegio Santa Maria de Maipu,453,833,893,876,959,596,602
Instituto portaleano,961,901,845,582,759,442,449
Colegio Pedro de Valdivia,516,896,943,576,510,396,405
Colegio Pedro de Valdivia,1000,799,686,770,940,365,397
Colegio Pedro de Valdivia,641,813,743,627,959,400,448
Colegio torreon,945,626,697,597,707,567,576
Colegio Pedro de Valdivia,621,911,552,713,428,694,697
Colegio sagrado corazon,701,690,907,756,634,510,510
Instituto portaleano,832,691,633,786,728,699,731
Colegio Santa Maria de Maipu,835,927,729,528,899,729,729
Colegio Santa Maria de Maipu,682,937,909,948,626,640,643
Colegio Santa Maria de Maipu,927,629,601,667,875,193,203
Colegio Santa Maria de Maipu,979,765,722,856,950,186,219
Colegio torreon,687,907,744,529,441,572,618
Instituto portaleano,688,739,912,971,407,257,292
Instituto portaleano,949,724,649,603,773,716,718
Colegio Santa Maria de Maipu,804,767,846,595,486,265,312
Colegio Santa Maria de Maipu,772,934,568,820,824,121,134
Instituto portaleano,959,663,841,902,793,200,233
Colegio Santa Maria de Maipu,900,699,761,924,442,483,497
Instituto portaleano,556,764,848,667,587,124,135
Colegio Pedro de Valdivia,837,623,731,669,918,492,537
Colegio Santa Maria de Maipu,657,798,871,792,536,743,778
Colegio Santa Maria de Maipu,845,645,870,725,523,602,616
Colegio Santa Maria de Maipu,674,834,824,932,655,316,335
Colegio Santa Maria de Maipu,783,702,825,597,775,375,393
